,Algorithm,Chi-squared,Df,Max Prob,Max Selection Prob Ratio,Mean Prob,Min Prob,Number of samples,P-value,PRNG,Pop size,Range,Range P-value,Sample size,reps,seed
76,FYKD,277.24564000000004,285,0.00403,1.325657894736842,0.0034965034965034965,0.00304,286.0,0.6178334844278359,MT,13,99,0.7781790228888004,10,100000,100
77,PIKK,340.68044,285,0.00423,1.4147157190635453,0.003496503496503496,0.00299,286.0,0.01310533858409938,MT,13,124,0.06069297033865928,10,100000,100
78,Random_Sample,274.3456,285,0.00401,1.3875432525951554,0.0034965034965034965,0.00289,286.0,0.6641926604083355,MT,13,112,0.2900516821788044,10,100000,100
79,sample_by_index,294.37131999999997,285,0.00405,1.3590604026845636,0.0034965034965034965,0.00298,286.0,0.3386492372556529,MT,13,107,0.4676859306822162,10,100000,100
80,Algorithm_R,287.79257600000005,285,0.003712,1.1585518102372037,0.0034965034965034965,0.003204,286.0,0.44255525633521536,MT,13,254,0.24331353083599272,10,500000,100
81,FYKD,305.246584,285,0.003726,1.1557071960297767,0.0034965034965034965,0.003224,286.0,0.19585669870759267,MT,13,251,0.28234353843567006,10,500000,100
82,PIKK,347.294304,285,0.003724,1.1339829476248477,0.0034965034965034965,0.003284,286.0,0.006800268153259815,MT,13,220,0.7985074236216183,10,500000,100
83,Random_Sample,267.959048,285,0.003728,1.143558282208589,0.0034965034965034965,0.00326,286.0,0.7581739692631724,MT,13,234,0.5617324089225539,10,500000,100
84,sample_by_index,261.06530399999997,285,0.003714,1.12409200968523,0.0034965034965034974,0.003304,286.0,0.8422890051300491,MT,13,205,0.9517501684943246,10,500000,100
85,Algorithm_R,292.02702,285,0.003697,1.1162439613526571,0.0034965034965034965,0.003312,286.0,0.3745538825363059,MT,13,385,0.0846379198027718,10,1000000,100
86,FYKD,294.17202000000003,285,0.003658,1.0975097509750975,0.0034965034965034965,0.003333,286.0,0.3416433353729364,MT,13,325,0.637201421525682,10,1000000,100
87,PIKK,298.81952,285,0.003686,1.1052473763118442,0.0034965034965034965,0.003335,286.0,0.27506898050874495,MT,13,351,0.32220899427413197,10,1000000,100
88,Random_Sample,248.48924,285,0.003661,1.0987394957983194,0.0034965034965034965,0.003332,286.0,0.941989278802523,MT,13,329,0.5863700513026099,10,1000000,100
89,sample_by_index,264.627076,285,0.003687,1.1005970149253732,0.0034965034965034965,0.00335,286.0,0.801350537442322,MT,13,337,0.4846593736304863,10,1000000,100
90,Algorithm_R,270.74506959999997,285,0.00358,1.0416666666666667,0.0034965034965034965,0.0034368,286.0,0.7188007133451073,MT,13,716,0.6964632097417047,10,5000000,100
91,FYKD,258.9389896,285,0.0035674,1.041698300531449,0.0034965034965034965,0.0034246,286.0,0.8640279371470938,MT,13,714,0.7071988714699268,10,5000000,100
92,PIKK,288.5593232,285,0.0035666,1.0429264869290602,0.0034965034965034965,0.0034198,286.0,0.430002866458506,MT,13,734,0.5958899668203266,10,5000000,100
93,Random_Sample,294.5605184,285,0.0035592,1.0400327274852434,0.0034965034965034965,0.0034222,286.0,0.33581753730719394,MT,13,685,0.8445385742426167,10,5000000,100
94,sample_by_index,297.65835599999997,285,0.0035718,1.0452417183659135,0.0034965034965034965,0.0034172,286.0,0.2910313548423627,MT,13,773,0.3802030762342701,10,5000000,100
95,Algorithm_R,289.580424,285,0.0035623,1.0349205426919612,0.0034965034965034965,0.0034421,286.0,0.41343186695536294,MT,13,1202,0.10535010261757471,10,10000000,100
96,FYKD,261.304176,285,0.003541,1.0271211022480058,0.003496503496503496,0.0034475,286.0,0.8397193936137458,MT,13,935,0.9232153999472674,10,10000000,100
97,PIKK,274.0896344,285,0.0035381,1.0316062629384495,0.0034965034965034965,0.0034297,286.0,0.6681940214417783,MT,13,1084,0.4139850081202697,10,10000000,100
